Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,original_label,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain
SRR18771776,WGS,574,320118010,PRJNA544210,SAMN27604074,"Microbe\, viral or environmental",187029954,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871181,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,14,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,14,ILLUMINA,2022-04-15T00:00:00Z,plate 9 SH1000 BAC 2ug line 5 14,population,SRP370534,SH1000
SRR18771777,WGS,569,355698085,PRJNA544210,SAMN27604073,"Microbe\, viral or environmental",202714243,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871180,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,13,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,13,ILLUMINA,2022-04-15T00:00:00Z,plate 9 CC398 WT5 13,population,SRP370534,ST398
SRR18771778,WGS,571,383667176,PRJNA544210,SAMN27604072,"Microbe\, viral or environmental",215089882,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871179,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,11,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,11,ILLUMINA,2022-04-15T00:00:00Z,plate 9 SH1000 WT 5 11,population,SRP370534,SH1000
SRR18771779,WGS,560,511054721,PRJNA544210,SAMN27604071,"Microbe\, viral or environmental",280083582,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871178,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,7,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,7,ILLUMINA,2022-04-15T00:00:00Z,SH1000 BAC 2ug line 4 plate 9 7,population,SRP370534,SH1000
SRR18771780,WGS,577,315845051,PRJNA544210,SAMN27604070,"Microbe\, viral or environmental",176016457,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871177,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,4,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,4,ILLUMINA,2022-04-15T00:00:00Z,SH1000 Pex 512 line1 plate 9 4,population,SRP370534,SH1000
SRR18771781,WGS,575,307807994,PRJNA544210,SAMN27604069,"Microbe\, viral or environmental",171846895,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871176,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,3,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,3,ILLUMINA,2022-04-15T00:00:00Z,CC398 WT1 plate 9 3,population,SRP370534,ST398
SRR18771782,WGS,578,468244848,PRJNA544210,SAMN27604096,"Microbe\, viral or environmental",259870563,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871175,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,50,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,40-s-c2,ILLUMINA,2022-04-15T00:00:00Z,plate 9 CC398 BAC 2ug line 1 50,colony,SRP370534,ST398
SRR18771783,WGS,573,439183995,PRJNA544210,SAMN27604095,"Microbe\, viral or environmental",240966558,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871174,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,49,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,35-s-c2,ILLUMINA,2022-04-15T00:00:00Z,plate 9 SH1000 BAC 2ug line 1 49,colony,SRP370534,SH1000
SRR18771784,WGS,577,315513754,PRJNA544210,SAMN27604068,"Microbe\, viral or environmental",177897776,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871173,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,1,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,1,ILLUMINA,2022-04-15T00:00:00Z,SH1000 WT 1 plate 9 1,population,SRP370534,SH1000
SRR18771785,WGS,569,498499856,PRJNA544210,SAMN27604094,"Microbe\, viral or environmental",268402144,BERLIN CENTER FOR GENOMICS IN BIODIVERSITY RESEARCH,not applicable,public,"fastq,sra","gs,ncbi","gs.US,ncbi.public",SRX14871172,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,not applicable,48,PAIRED,RANDOM,GENOMIC,Staphylococcus aureus,33-s-c1,ILLUMINA,2022-04-15T00:00:00Z,plate 9 SH1000 Pex 512 line2 48,colony,SRP370534,SH1000
